ADM1_EN,Longitude,Latitude
Johor,103.39081030087064,2.0497324170716786
Kedah,100.61686000627859,5.94563228095401
Kelantan,102.02860938977985,5.279176900878657
Melaka,102.30717366312302,2.322313798825246
Negeri Sembilan,102.20665140926998,2.774017642004203
Pahang,102.54201752932583,3.7319448079227673
Perak,101.10692498593946,4.770013690799362
Perlis,100.24207304757978,6.505029808805093
Pulau Pinang,100.39921440084846,5.369613739690685
Sabah,117.12959834084383,5.354241650198492
Sarawak,113.30672983914421,2.593282730015462
Selangor,101.49885976181157,3.270731811740789
Terengganu,102.95275718533097,4.9265860249989615
Kuala Lumpur,101.68548549488689,3.1326867971330707
Labuan,115.21779033774108,5.309072191324043
Putrajaya,101.68379698581046,2.905215925628435
